token,tag_true,tag_pred
обусловило,O,O
создание,O,O
таких,O,O
уголовно,B-TERM,B-TERM
-,I-TERM,O
процессуальных,I-TERM,B-TERM
гарантий,I-TERM,I-TERM
",",O,O
которые,O,O
должны,O,O
были,O,O
обеспечить,O,O
равенство,B-TERM,O
прав,I-TERM,O
обеих,O,O
противоборствующих,B-TERM,B-TERM
сторон,I-TERM,I-TERM
уголовного,B-TERM,I-TERM
судопроизводства,I-TERM,I-TERM
.,O,O
Для,O,O
достижения,O,O
поставленной,O,O
задачи,O,O
законодатель,B-TERM,O
предусмотрел,O,O
",",O,O
что,O,O
защитник,B-TERM,O
может,O,O
пользоваться,O,O
определенными,O,O
способами,O,O
собирания,B-TERM,O
доказательств,I-TERM,O
.,O,O
К,O,O
сожалению,O,O
стороны,B-TERM,O
защиты,I-TERM,O
",",O,O
на,O,O
практике,O,O
достаточно,O,O
быстро,O,O
выявилась,O,O
невозможность,O,O
эффективного,O,O
использования,O,O
указанных,O,O
правомочий,B-TERM,O
.,O,O
Оказалось,O,O
",",O,O
что,O,O
УПК,B-TERM,O
РФ,I-TERM,O
не,O,O
предусматривает,O,O
процессуального,B-TERM,O
механизма,I-TERM,O
их,O,O
реализации,O,O
",",O,O
что,O,O
ставит,O,O
под,O,O
сомнение,O,O
допустимость,O,O
результатов,O,O
доказательственной,B-TERM,O
деятельности,I-TERM,O
защитника,B-TERM,O
.,O,O
Выявленный,O,O
пробел,O,O
уголовно,B-TERM,B-TERM
-,I-TERM,O
процессуального,I-TERM,B-TERM
закона,I-TERM,I-TERM
существенно,O,O
ограничивает,O,O
возможности,O,O
стороны,B-TERM,O
защиты,I-TERM,O
отстаивать,O,O
интересы,B-TERM,O
подозреваемых,B-TERM,O
и,O,O
обвиняемых,B-TERM,O
",",O,O
что,O,O
весьма,O,O
негативно,O,O
сказывается,O,O
на,O,O
реализации,O,O
принципа,B-TERM,O
состязательности,I-TERM,O
.,O,O
В,O,O
рамках,O,O
представленной,O,O
статьи,O,O
автор,O,O
рассматривает,O,O
проблемы,O,O
",",O,O
препятствующие,O,O
осуществлению,O,O
прав,B-TERM,O
защитника,B-TERM,O
на,O,O
собирание,B-TERM,O
и,O,O
использование,B-TERM,O
доказательств,I-TERM,O
",",O,O
и,O,O
характеризует,O,O
возможные,O,O
варианты,O,O
их,O,O
решения,O,O
.,O,O
Фортификационные,B-TERM,B-TERM
памятники,I-TERM,I-TERM
Восточного,B-TERM,I-TERM
Приморья,I-TERM,I-TERM
до,O,O
сих,O,O
пор,O,O
практически,O,O
не,O,O
изучены,O,O
.,O,O
В,O,O
целях,O,O
решения,O,O
данной,O,O
проблемы,O,O
исследованы,O,O
городища,B-TERM,O
",",O,O
укрепления,B-TERM,O
и,O,O
защитные,B-TERM,B-TERM
стены,I-TERM,I-TERM
бассейна,B-TERM,I-TERM
Маргаритовки,B-TERM,I-TERM
.,O,O
Выявлено,O,O
четыре,O,O
разнотипных,O,B-TERM
укрепленных,B-TERM,I-TERM
памятника,I-TERM,I-TERM
:,O,O
горное,B-TERM,O
Щербаковское,I-TERM,B-TERM
городище,I-TERM,I-TERM
чжурчжэньского,I-TERM,O
государства,I-TERM,O
Восточное,B-TERM,O
Ся,I-TERM,O
XIII,B-TERM,O
в,I-TERM,O
.,I-TERM,O
",",O,O
а,O,O
также,O,O
относящиеся,O,O
к,O,O
эпохе,B-TERM,O
Средневековья,I-TERM,O
мысовое,B-TERM,O
городище,I-TERM,O
Сенокосное,I-TERM,B-TERM
-,I-TERM,I-TERM
1,I-TERM,I-TERM
",",O,O
сопоставимое,O,O
с,O,O
польцевской,O,B-TERM
культурой,O,I-TERM
",",O,O
мысовое,B-TERM,O
городище,I-TERM,O
Маргаритово,I-TERM,B-TERM
",",O,O
Каменный,B-TERM,B-TERM
вал,I-TERM,I-TERM
в,O,O
устье,B-TERM,B-TERM
Маргаритовки,B-TERM,I-TERM
.,O,O
Геофизическая,B-TERM,B-TERM
характеристика,I-TERM,I-TERM
территории,I-TERM,O
–,O,O
замыкание,B-TERM,B-TERM
верховьев,I-TERM,I-TERM
Маргаритовки,B-TERM,I-TERM
на,O,O
г,O,O
.,O,O
Перевальная,O,B-TERM
с,O,I-TERM
расположенной,O,O
на,O,O
ней,O,O
одноименной,O,O
контрольно,B-TERM,O
-,I-TERM,O
пропускной,I-TERM,O
средневековой,I-TERM,O
крепостью,I-TERM,O
и,O,O
выход,O,O
устья,B-TERM,O
реки,I-TERM,O
в,O,O
бухту,O,O
Моряк,O,O
-,O,O
Рыболов,O,O
–,O,O
свидетельствует,O,O
о,O,O
функционировании,O,O
здесь,O,O
сухопутной,O,B-TERM
дороги,O,I-TERM
",",O,O
идущей,O,O
с,O,O
западной,O,O
стороны,O,O
Сихотэ,O,O
-,O,O
Алиня,O,O
через,O,O
г,O,O
.,O,O
Перевальная,O,B-TERM
в,O,I-TERM
сторону,O,B-TERM
Японского,O,I-TERM
моря,O,I-TERM
.,O,O
Сухопутная,O,O
и,O,O
морская,O,B-TERM
дорожнотранспортные,B-TERM,I-TERM
артерии,I-TERM,I-TERM
требовали,O,O
охраны,O,O
и,O,O
контроля,O,O
",",O,O
что,O,O
подтверждается,O,O
возведением,O,B-TERM
длинного,O,I-TERM
каменного,B-TERM,I-TERM
вала,I-TERM,I-TERM
по,O,O
горному,B-TERM,O
отрогу,I-TERM,O
Сихотэ,B-TERM,O
-,I-TERM,O
Алиня,I-TERM,O
в,O,O
устье,B-TERM,O
Маргаритовки,B-TERM,O
.,O,O
Индустрия,B-TERM,O
грота,B-TERM,O
Тешик,B-TERM,O
-,I-TERM,O
Таш,I-TERM,O
имеет,O,O
бесспорную,O,O
привязку,O,O
к,O,O
неандертальской,B-TERM,B-TERM
популяции,I-TERM,I-TERM
",",O,O
что,O,O
подтверждено,O,O
в,O,O
том,O,O
числе,O,O
и,O,O
генетическими,B-TERM,B-TERM
исследованиями,I-TERM,I-TERM
.,O,O
В,O,O
этой,O,O
связи,O,O
технологическое,O,B-TERM
изучение,O,I-TERM
каменной,B-TERM,B-TERM
коллекции,I-TERM,I-TERM
имеет,O,O
важнейшее,O,O
значение,O,O
.,O,O
Ранее,O,O
авторами,O,O
была,O,O
обработана,O,O
коллекция,O,O
Тешик,B-TERM,B-TERM
-,I-TERM,O
Таша,I-TERM,O
",",O,O
хранящаяся,O,O
в,O,O
МАЭ,B-TERM,O
РАН,I-TERM,O
(,O,O
Санкт,O,O
-,O,O
Петербург,O,O
),O,O
.,O,O
В,O,O
настоящей,O,O
статье,O,O
представлены,O,O
данные,B-TERM,O
обработки,O,O
коллекции,B-TERM,O
Тешик,I-TERM,O
-,I-TERM,O
Таша,I-TERM,O
",",O,O
хранящейся,O,O
в,O,O
НИИ,B-TERM,O
и,O,O
Музее,B-TERM,B-TERM
антропологии,I-TERM,I-TERM
им,O,O
.,O,O
Д,O,O
.,O,O
Н,O,O
.,O,O
Анучина,O,B-TERM
МГУ,O,I-TERM
",",O,O
в,O,O
основном,O,O
подтверждающие,O,O
выводы,O,O
предыдущего,O,O
исследования,O,O
.,O,O
В,O,O
результате,O,O
удалось,O,O
зафиксировать,O,O
безусловное,O,O
доминирование,O,B-TERM
центростремительной,B-TERM,I-TERM
модели,I-TERM,I-TERM
расщепления,I-TERM,I-TERM
камня,I-TERM,I-TERM
",",O,O
использование,O,O
которой,O,O
запечатлено,O,O
в,O,O
морфологии,B-TERM,B-TERM
изделий,I-TERM,O
всех,O,O
типологически,B-TERM,O
значимых,I-TERM,O
категорий,I-TERM,O
.,O,O
Вместе,O,O
в,O,O
тем,O,O
",",O,O
ряд,O,O
артефактов,B-TERM,O
указывает,O,O
на,O,O
существование,O,O
технологической,B-TERM,B-TERM
вариабельности,I-TERM,I-TERM
каменного,B-TERM,I-TERM
производства,I-TERM,I-TERM
в,O,O
индустрии,B-TERM,O
как,O,O
на,O,O
этапе,O,O
изготовления,O,O
сколов,B-TERM,B-TERM
-,I-TERM,O
заготовок,I-TERM,O
(,O,O
использование,O,B-TERM
подклиновидных,B-TERM,I-TERM
и,O,I-TERM
объемных,B-TERM,B-TERM
нуклеусов,I-TERM,I-TERM
),O,O
",",O,O
так,O,O
и,O,O
на,O,O
этапе,O,O
оформления,O,O
орудий,B-TERM,O
(,O,O
тронкированно,B-TERM,B-TERM
-,I-TERM,O
фасетированные,I-TERM,B-TERM
изделия,I-TERM,I-TERM
),O,O
.,O,O
При,O,O
этом,O,O
леваллуазское,B-TERM,B-TERM
расщепление,I-TERM,I-TERM
зафиксировано,O,O
в,O,O
материалах,O,O
коллекции,O,O
НИИ,B-TERM,O
и,O,O
Музея,B-TERM,B-TERM
антропологии,I-TERM,I-TERM
МГУ,I-TERM,O
в,O,O
таком,O,O
же,O,O
подчиненном,O,O
положении,O,O
",",O,O
что,O,O
и,O,O
в,O,O
коллекции,O,B-TERM
Кунсткамеры,B-TERM,I-TERM
.,O,O
Анализ,O,O
материалов,O,O
грота,B-TERM,O
Тешик,I-TERM,B-TERM
-,I-TERM,O
Таш,I-TERM,O
",",O,O
находящихся,O,O
в,O,O
Национальном,B-TERM,O
музее,I-TERM,B-TERM
истории,I-TERM,I-TERM
Узбекистана,I-TERM,O
в,O,O
Ташкенте,O,O
безусловно,O,O
расширят,O,O
наше,O,O
знание,O,O
о,O,O
навыках,O,B-TERM
неандертальцев,B-TERM,I-TERM
Центральной,B-TERM,I-TERM
Азии,I-TERM,I-TERM
в,O,O
каменном,B-TERM,O
производстве,I-TERM,O
.,O,O
Статья,O,O
посвящена,O,O
результатам,O,O
анализа,B-TERM,O
серии,I-TERM,O
образцов,I-TERM,B-TERM
митохондриальной,B-TERM,I-TERM
ДНК,I-TERM,I-TERM
(,O,O
N,O,O
#ERROR!,O,O
25,O,O
),O,O
из,O,O
могильников,B-TERM,O
окуневской,B-TERM,O
культуры,I-TERM,B-TERM
Минусинской,B-TERM,I-TERM
котловины,I-TERM,I-TERM
.,O,I-TERM
Проведенное,O,I-TERM
исследование,O,O
позволило,O,O
почти,O,O
вдвое,O,O
увеличить,O,O
суммарную,O,O
численность,O,O
успешно,O,O
исследованных,O,O
окуневских,O,O
образцов,O,O
мтДНК,B-TERM,B-TERM
.,O,I-TERM
Исследованная,O,B-TERM
нами,O,O
серия,O,O
образцов,O,O
из,O,O
могильника,B-TERM,O
Сыда,O,O
V,O,B-TERM
(,O,O
N,O,O
#ERROR!,O,O
23,O,O
),O,O
является,O,O
первой,O,O
репрезентативной,O,O
локально,O,O
-,O,O
территориальной,O,O
серией,O,O
образцов,O,O
мтДНК,B-TERM,B-TERM
для,O,O
популяции,O,B-TERM
окуневской,B-TERM,I-TERM
культуры,I-TERM,I-TERM
региона,O,I-TERM
.,O,O
Полученные,O,O
нами,O,O
новые,O,O
результаты,O,O
и,O,O
опубликованные,O,O
данные,O,O
обсуждаются,O,O
в,O,O
контексте,O,O
проблемы,O,O
формирования,O,B-TERM
генетического,O,I-TERM
состава,O,I-TERM
носителей,O,I-TERM
культуры,O,O
и,O,O
их,O,O
роли,O,O
в,O,O
дальнейшей,O,B-TERM
генетической,O,I-TERM
истории,O,I-TERM
населения,O,I-TERM
южных,O,O
районов,O,O
Сибири,O,O
.,O,O
Согласно,O,O
имеющимся,O,O
данным,O,O
",",O,O
ключевую,O,O
роль,O,O
в,O,O
формировании,O,B-TERM
окуневской,B-TERM,I-TERM
популяции,I-TERM,I-TERM
играли,O,O
генетические,O,O
компоненты,O,O
",",O,O
связанные,O,O
с,O,O
автохтонным,B-TERM,B-TERM
населением,I-TERM,I-TERM
региона,O,O
",",O,O
предшествовавшим,O,O
появлению,O,O
на,O,O
юге,O,O
Сибири,O,B-TERM
афанасьевских,B-TERM,I-TERM
популяций,I-TERM,I-TERM
.,O,O
Для,O,O
более,O,O
детальных,O,B-TERM
реконструкций,B-TERM,I-TERM
требуется,O,O
накопление,O,O
дополнительных,O,B-TERM
репрезентативных,O,I-TERM
палеогенетических,B-TERM,I-TERM
данных,I-TERM,I-TERM
.,O,O
Представлены,O,O
результаты,O,O
технико,B-TERM,B-TERM
-,I-TERM,O
технологического,I-TERM,B-TERM
анализа,I-TERM,I-TERM
поселенческой,B-TERM,I-TERM
керамики,I-TERM,I-TERM
барсовской,B-TERM,I-TERM
культуры,I-TERM,I-TERM
с,O,O
селищ,B-TERM,O
Барсова,B-TERM,O
Гора,I-TERM,O
I,I-TERM,O
/,O,O
50,O,O
(,O,O
20,O,O
сосудов,B-TERM,O
),O,O
",",O,O
Барсова,B-TERM,O
Гора,I-TERM,O
II,I-TERM,O
/,O,O
43,O,O
(,O,O
8,O,O
сосудов,B-TERM,O
),O,O
",",O,O
Барсова,B-TERM,O
Гора,I-TERM,O
III,I-TERM,O
/,O,O
4,O,O
(,O,O
10,O,O
сосудов,B-TERM,O
),O,O
",",O,O
Барцевка,B-TERM,O
IV,I-TERM,O
(,O,O
15,O,O
сосудов,B-TERM,O
),O,O
.,O,O
Целью,O,O
является,O,O
реконструкция,B-TERM,O
содержания,O,O
ступеней,O,B-TERM
гончарного,B-TERM,I-TERM
производства,I-TERM,I-TERM
у,O,O
носителей,O,B-TERM
барсовской,B-TERM,I-TERM
культуры,I-TERM,I-TERM
.,O,O
Технико,B-TERM,B-TERM
-,I-TERM,I-TERM
технологический,I-TERM,I-TERM
анализ,I-TERM,O
проводился,O,O
по,O,O
методике,B-TERM,O
",",O,O
предложенной,O,O
А,O,O
.,O,O
А,O,O
.,O,O
Бобринским,O,B-TERM
.,O,O
На,O,O
всех,O,O
памятниках,B-TERM,O
гончарами,B-TERM,B-TERM
отбирался,O,O
один,O,O
вид,O,O
исходного,O,B-TERM
пластичного,B-TERM,I-TERM
сырья,I-TERM,I-TERM
–,O,O
ожелезненные,B-TERM,B-TERM
природные,I-TERM,I-TERM
глины,I-TERM,I-TERM
.,O,O
Установлено,O,O
",",O,O
что,O,O
гончары,B-TERM,O
на,O,O
разных,O,O
поселениях,O,O
отбирали,O,O
сырье,B-TERM,O
из,O,O
разных,O,O
глинищ,B-TERM,O
.,O,O
На,O,O
трех,O,O
поселениях,O,O
доминирующим,O,O
рецептом,O,O
является,O,O
Глина,O,O
+,O,O
Шамот,O,O
",",O,O
на,O,O
селище,B-TERM,O
Барцевка,B-TERM,B-TERM
IV,I-TERM,I-TERM
–,O,O
Глина,O,B-TERM
+,O,O
Шамот,O,O
+,O,O
Органический,O,B-TERM
раствор,O,I-TERM
.,O,O
Гончары,B-TERM,O
на,O,O
всех,O,O
поселениях,O,O
обладали,O,O
близкими,O,O
навыками,O,B-TERM
конструирования,O,I-TERM
начина,B-TERM,I-TERM
и,O,O
полого,B-TERM,O
тела,I-TERM,O
",",O,O
а,O,O
также,O,O
обжига,B-TERM,O
.,O,O
Это,O,O
позволяет,O,O
предположить,O,O
общность,O,O
традиций,B-TERM,O
населения,I-TERM,O
",",O,O
оставившего,O,O
эти,O,O
памятники,B-TERM,O
.,O,O
Различия,O,O
в,O,O
традициях,B-TERM,O
составления,I-TERM,B-TERM
формовочной,B-TERM,I-TERM
массы,I-TERM,I-TERM
на,O,O
разных,O,O
поселениях,O,O
могут,O,O
быть,O,O
связаны,O,O
с,O,O
хронологической,O,B-TERM
разницей,O,I-TERM
между,O,O
селищами,B-TERM,B-TERM
и,O,O
с,O,O
взаимодействием,O,B-TERM
носителей,O,I-TERM
барсовской,B-TERM,I-TERM
культуры,I-TERM,I-TERM
с,O,O
другими,O,O
культурными,B-TERM,B-TERM
группами,I-TERM,I-TERM
в,O,O
эпоху,B-TERM,O
поздней,I-TERM,O
бронзы,I-TERM,O
.,O,O
Представлены,O,O
результаты,O,O
анализа,B-TERM,O
материалов,I-TERM,O
погребения,I-TERM,O
воина,B-TERM,O
",",O,O
раскопанного,O,O
в,O,O
составе,O,B-TERM
некрополя,B-TERM,I-TERM
эпохи,B-TERM,I-TERM
Великого,I-TERM,O
переселения,I-TERM,O
народов,I-TERM,O
Карбан,I-TERM,O
I,O,O
(,O,O
Северный,B-TERM,O
Алтай,I-TERM,O
),O,O
.,O,O
Основные,O,O
признаки,O,O
захоронения,B-TERM,O
(,O,O
небольшая,O,O
каменная,O,O
наземная,O,B-TERM
конструкция,B-TERM,I-TERM
овальной,O,I-TERM
формы,O,I-TERM
;,O,O
одиночная,B-TERM,O
ингумация,I-TERM,B-TERM
без,O,O
лошади,O,O
;,O,O
ориентировка,B-TERM,O
человека,O,O
головой,O,O
в,O,O
западный,B-TERM,O
сектор,I-TERM,O
горизонта,I-TERM,O
с,O,O
отклонением,B-TERM,O
на,I-TERM,O
север,I-TERM,O
;,O,O
неглубокая,O,O
могильная,O,B-TERM
яма,O,I-TERM
),O,O
позволяют,O,O
отнести,O,O
данный,O,O
объект,B-TERM,O
к,O,O
памятникам,B-TERM,B-TERM
карбанской,I-TERM,I-TERM
традиции,I-TERM,I-TERM
обрядовой,I-TERM,I-TERM
практики,I-TERM,I-TERM
населения,O,I-TERM
булан,B-TERM,B-TERM
-,I-TERM,O
кобинской,I-TERM,B-TERM
археологической,I-TERM,I-TERM
культуры,I-TERM,I-TERM
.,O,O
Морфологический,B-TERM,B-TERM
анализ,I-TERM,I-TERM
различных,O,O
категорий,O,B-TERM
сопроводительного,O,I-TERM
инвентаря,B-TERM,I-TERM
и,O,O
их,O,O
сопоставление,O,O
с,O,O
вещественными,B-TERM,O
материалами,I-TERM,O
из,O,O
комплексов,B-TERM,O
Центральной,B-TERM,O
Азии,I-TERM,O
стали,O,O
основанием,O,O
для,O,O
определения,O,O
датировки,B-TERM,O
комплекса,B-TERM,O
в,O,O
рамках,O,O
II,O,O
–,O,O
III,O,O
вв,O,O
.,O,O
н,O,O
.,O,O
э,O,O
.,O,O
Установлен,O,O
довольно,O,O
высокий,O,O
прижизненный,O,O
статус,B-TERM,O
умершего,O,O
человека,O,O
",",O,O
который,O,O
",",O,O
судя,O,O
по,O,O
составу,O,O
предметного,B-TERM,B-TERM
комплекса,I-TERM,I-TERM
",",O,O
являлся,O,O
профессиональным,O,O
воином,B-TERM,O
",",O,O
относившимся,O,O
к,O,O
социально,B-TERM,O
привилегированной,I-TERM,O
группе,I-TERM,O
населения,I-TERM,B-TERM
сяньбийского,B-TERM,I-TERM
периода,I-TERM,I-TERM
",",O,O
хоронившей,O,O
в,O,O
устье,O,O
р,O,O
.,O,O
Карбан,O,O
.,O,O
В,O,O
статье,O,O
предлагается,O,O
решение,O,O
проблем,O,O
обработки,O,O
нечетко,B-TERM,B-TERM
-,I-TERM,I-TERM
темпоральных,I-TERM,I-TERM
данных,I-TERM,I-TERM
телекоммуникационных,B-TERM,I-TERM
сетей,I-TERM,I-TERM
",",O,O
необходимых,O,O
для,O,O
выявления,O,O
и,O,O
прогнозирования,B-TERM,O
тенденций,O,O
дальнейшего,O,O
поведения,O,O
абонентов,B-TERM,O
.,O,O
На,O,O
основе,O,O
разработанной,O,O
библиотеки,B-TERM,B-TERM
алгоритмов,I-TERM,I-TERM
модели,B-TERM,I-TERM
обработки,I-TERM,I-TERM
нечетко,B-TERM,B-TERM
-,I-TERM,O
темпоральных,I-TERM,B-TERM
отношений,I-TERM,I-TERM
между,O,O
временными,B-TERM,B-TERM
точками,I-TERM,I-TERM
и,O,O
/,O,O
или,O,O
интервалами,B-TERM,B-TERM
был,O,O
реализован,O,O
инструментарий,O,B-TERM
",",O,O
позволяющий,O,O
обрабатывать,O,O
и,O,O
визуализировать,O,O
нечетко,B-TERM,O
-,I-TERM,O
темпоральные,I-TERM,B-TERM
данные,I-TERM,I-TERM
в,O,O
аналитических,B-TERM,B-TERM
системах,I-TERM,I-TERM
операторов,B-TERM,O
связи,I-TERM,O
.,O,O
Представлены,O,O
результаты,O,B-TERM
внедрения,O,I-TERM
модуля,B-TERM,I-TERM
возможностно,B-TERM,B-TERM
-,I-TERM,O
темпоральной,I-TERM,B-TERM
модели,I-TERM,I-TERM
при,O,O
реализации,O,B-TERM
коммерческого,O,I-TERM
проекта,O,I-TERM
аналитической,B-TERM,I-TERM
системы,I-TERM,I-TERM
для,O,O
телекоммуникационной,B-TERM,B-TERM
компании,I-TERM,I-TERM
.,O,O
В,O,O
статье,O,O
рассматривается,O,O
система,B-TERM,B-TERM
управления,I-TERM,I-TERM
перемещением,I-TERM,B-TERM
специализированного,I-TERM,I-TERM
промышленного,I-TERM,I-TERM
манипулятора,I-TERM,I-TERM
.,O,O
Проводится,O,O
анализ,O,O
ключевых,O,O
особенностей,O,O
системы,O,O
",",O,O
рассматривается,O,O
и,O,O
формулируется,O,O
задача,B-TERM,O
повышения,I-TERM,O
эффективности,I-TERM,B-TERM
управления,I-TERM,I-TERM
.,O,O
На,O,O
основании,O,O
существующих,O,O
в,O,O
мобильной,B-TERM,B-TERM
и,O,I-TERM
промышленной,B-TERM,B-TERM
робототехнике,I-TERM,I-TERM
решений,O,I-TERM
",",O,O
включающих,O,O
использование,O,B-TERM
искусственных,B-TERM,I-TERM
нейронных,I-TERM,I-TERM
сетей,I-TERM,I-TERM
",",O,O
предлагается,O,O
подход,O,O
к,O,O
формированию,B-TERM,O
траектории,I-TERM,B-TERM
перемещения,I-TERM,I-TERM
манипулятора,I-TERM,I-TERM
.,O,O
Статья,O,O
посвящена,O,O
обсуждению,O,O
концепции,O,O
понятия,O,O
«,O,O
репрезентативность,B-TERM,B-TERM
статистической,I-TERM,I-TERM
выборки,I-TERM,I-TERM
»,O,O
.,O,O
Предложена,O,O
статистическая,B-TERM,B-TERM
мера,I-TERM,I-TERM
репрезентативности,I-TERM,I-TERM
выборки,I-TERM,I-TERM
способ,O,B-TERM
количественной,O,I-TERM
оценки,O,I-TERM
степени,O,B-TERM
репрезентативности,B-TERM,I-TERM
выборки,I-TERM,I-TERM
из,O,O
генеральной,B-TERM,O
совокупности,I-TERM,O
.,O,O
Для,O,O
демонстрации,O,O
техники,O,O
применения,O,O
соответствующих,O,O
определений,O,O
и,O,O
методов,O,O
рассмотрен,O,O
пример,O,O
",",O,O
связанный,O,O
с,O,O
выявлением,O,O
объема,O,O
статистически,B-TERM,O
достоверной,I-TERM,O
выборки,I-TERM,O
при,O,O
анализе,O,O
СЭМ,B-TERM,O
-,O,O
изображений,B-TERM,O
поверхности,I-TERM,O
полимерного,I-TERM,B-TERM
композита,I-TERM,I-TERM
.,O,O
Создание,O,B-TERM
конструкторской,O,I-TERM
документации,O,I-TERM
основано,O,O
на,O,O
использовании,O,O
современных,O,O
систем,B-TERM,B-TERM
автоматизированного,I-TERM,I-TERM
проектирования,I-TERM,I-TERM
трехмерных,I-TERM,I-TERM
моделей,I-TERM,I-TERM
изделий,I-TERM,I-TERM
.,O,O
Для,O,O
студентов,O,O
и,O,O
инженеров,O,B-TERM
машиностроительных,O,I-TERM
специальностей,O,I-TERM
будут,O,O
полезны,O,O
представленные,O,O
средства,O,O
выбора,O,O
элементов,O,O
моделей,O,O
изделий,O,O
",",O,O
режимы,O,O
наложения,B-TERM,B-TERM
сборочных,I-TERM,I-TERM
зависимостей,I-TERM,I-TERM
и,O,O
приведенные,O,O
сведения,O,O
по,O,O
оформлению,O,B-TERM
сборочных,O,I-TERM
чертежей,O,I-TERM
в,O,O
соответствии,O,O
со,O,O
стандартами,O,O
Единой,B-TERM,O
Системы,I-TERM,B-TERM
Конструкторской,I-TERM,I-TERM
Документации,I-TERM,I-TERM
.,O,O
Рассмотренный,O,O
в,O,O
статье,O,O
алгоритм,B-TERM,O
построения,I-TERM,B-TERM
модели,I-TERM,I-TERM
сборочной,I-TERM,O
единицы,I-TERM,O
в,O,O
среде,B-TERM,O
программы,I-TERM,O
Autodesk,I-TERM,B-TERM
Inventor,I-TERM,I-TERM
позволяет,O,O
ускорить,O,O
процесс,O,B-TERM
выполнения,O,I-TERM
сборочного,B-TERM,I-TERM
чертежа,I-TERM,I-TERM
и,O,O
исключает,O,O
нарушение,O,B-TERM
проекционной,B-TERM,I-TERM
связи,I-TERM,I-TERM
изображений,I-TERM,I-TERM
.,O,O
В,O,O
качестве,O,O
объектов,O,O
исследования,O,O
в,O,O
данной,O,O
статье,O,O
рассматриваются,O,O
шагающие,B-TERM,O
внутритрубные,I-TERM,B-TERM
роботы,I-TERM,I-TERM
с,O,O
наиболее,O,O
распространенными,O,O
конструктивными,O,B-TERM
плоскими,B-TERM,B-TERM
и,O,I-TERM
пространственной,B-TERM,B-TERM
схемами,I-TERM,I-TERM
.,O,O
Для,O,O
них,O,O
обобщенно,O,O
рассмотрены,O,O
подходы,O,O
к,O,O
управлению,B-TERM,B-TERM
движением,I-TERM,O
",",O,O
целью,O,O
которых,O,O
является,O,O
реализация,O,O
заданного,O,O
перемещения,B-TERM,B-TERM
ног,I-TERM,I-TERM
и,O,O
корпуса,B-TERM,B-TERM
устройств,I-TERM,I-TERM
с,O,O
учетом,O,O
геометрии,B-TERM,O
трубы,I-TERM,O
.,O,O
Представлен,O,O
обзор,O,O
регуляторов,B-TERM,O
системы,I-TERM,O
управления,I-TERM,O
шагов,I-TERM,O
робота,I-TERM,O
по,I-TERM,O
трубе,I-TERM,O
",",O,O
методов,B-TERM,O
задания,I-TERM,O
траектории,I-TERM,O
и,O,O
ориентации,B-TERM,B-TERM
корпуса,I-TERM,I-TERM
устройства,I-TERM,I-TERM
",",O,O
подходов,O,O
к,O,O
решению,O,O
обратной,B-TERM,B-TERM
задачи,I-TERM,I-TERM
кинематики,I-TERM,I-TERM
",",O,O
а,O,O
также,O,O
обзор,O,B-TERM
регуляторов,B-TERM,I-TERM
системы,I-TERM,I-TERM
управления,I-TERM,I-TERM
",",O,O
позволяющих,O,O
учитывать,O,O
особенности,O,B-TERM
контактного,B-TERM,I-TERM
взаимодействия,I-TERM,I-TERM
робота,I-TERM,I-TERM
с,O,O
внутренней,B-TERM,B-TERM
поверхностью,I-TERM,I-TERM
трубы,I-TERM,I-TERM
",",O,O
и,O,O
их,O,O
сравнительный,O,B-TERM
анализ,O,I-TERM
.,O,O
Учет,O,B-TERM
электропроводности,B-TERM,I-TERM
при,O,O
описании,O,O
равновесия,B-TERM,B-TERM
термоупругих,I-TERM,I-TERM
тел,I-TERM,I-TERM
",",O,O
как,O,O
правило,O,O
",",O,O
значительно,O,O
усложняет,O,O
математическую,B-TERM,B-TERM
модель,I-TERM,I-TERM
.,O,O
В,O,O
работе,O,O
доказывается,O,O
теорема,B-TERM,O
существования,I-TERM,B-TERM
смешанной,O,I-TERM
краевой,B-TERM,I-TERM
задачи,I-TERM,I-TERM
для,O,O
нелинейной,B-TERM,B-TERM
модели,I-TERM,I-TERM
",",O,O
учитывающей,O,O
влияние,O,O
температуры,B-TERM,O
и,O,O
электропроводности,B-TERM,B-TERM
на,O,O
процесс,O,B-TERM
деформирования,B-TERM,I-TERM
упругого,B-TERM,I-TERM
тела,I-TERM,I-TERM
.,O,O
Рассматривается,O,O
линеаризованная,B-TERM,B-TERM
модель,I-TERM,I-TERM
совместного,I-TERM,I-TERM
движения,I-TERM,I-TERM
упругого,B-TERM,I-TERM
пористого,I-TERM,I-TERM
грунта,I-TERM,I-TERM
и,O,O
целиком,O,O
заполняющей,O,O
поровое,B-TERM,B-TERM
пространство,I-TERM,I-TERM
вязкой,B-TERM,B-TERM
сжимаемой,I-TERM,I-TERM
жидкости,I-TERM,I-TERM
с,O,O
учетом,O,O
теплопроводности,B-TERM,B-TERM
.,O,O
Считается,O,O
",",O,O
что,O,O
поровое,B-TERM,B-TERM
пространство,I-TERM,I-TERM
обладает,O,O
периодической,B-TERM,B-TERM
геометрией,I-TERM,I-TERM
и,O,O
что,O,O
модель,B-TERM,O
содержит,O,O
малый,B-TERM,O
параметр,I-TERM,O
-,O,O
отношение,O,O
характерных,O,O
размеров,O,O
микро,B-TERM,O
-,O,O
и,O,O
макроуровней,B-TERM,O
",",O,O
